Date,Price,Open,High,Low,Change %
27-Feb-17,112.7,112.11,112.86,111.92,0.45%
28-Feb-17,112.78,112.72,112.91,111.7,0.07%
1-Mar-17,113.73,112.78,114.06,112.73,0.84%
2-Mar-17,114.41,113.75,114.61,113.69,0.60%
3-Mar-17,114.02,114.42,114.77,113.83,-0.34%
6-Mar-17,113.89,114.02,114.14,113.55,-0.11%
7-Mar-17,113.98,113.89,114.17,113.72,0.08%
8-Mar-17,114.35,113.99,114.77,113.61,0.32%
9-Mar-17,114.94,114.38,115.03,114.33,0.52%
10-Mar-17,114.75,114.94,115.51,114.63,-0.17%
13-Mar-17,114.88,114.81,114.93,114.47,0.11%
14-Mar-17,114.75,114.88,115.2,114.5,-0.11%
15-Mar-17,113.38,114.75,114.91,113.18,-1.19%
16-Mar-17,113.31,113.36,113.56,112.91,-0.06%
17-Mar-17,112.72,113.31,113.5,112.55,-0.52%
20-Mar-17,112.56,112.69,112.89,112.44,-0.14%
21-Mar-17,111.72,112.55,112.88,111.55,-0.75%
22-Mar-17,111.16,111.7,111.81,110.72,-0.50%
23-Mar-17,110.94,111.17,111.58,110.61,-0.20%
24-Mar-17,111.34,110.94,111.5,110.61,0.36%
27-Mar-17,110.66,111.23,111.27,110.1,-0.61%
28-Mar-17,111.16,110.69,111.22,110.19,0.45%
29-Mar-17,111.05,111.14,111.33,110.7,-0.10%
30-Mar-17,111.92,111.06,111.97,110.94,0.78%
31-Mar-17,111.39,111.92,112.2,111.22,-0.47%
3-Apr-17,110.89,111.41,111.61,110.84,-0.45%
4-Apr-17,110.75,110.89,110.97,110.27,-0.13%
5-Apr-17,110.7,110.77,111.47,110.53,-0.05%
6-Apr-17,110.81,110.69,111.14,110.28,0.10%
7-Apr-17,111.07,110.81,111.38,110.13,0.23%
10-Apr-17,110.94,111.09,111.58,110.78,-0.12%
11-Apr-17,109.62,110.94,110.97,109.6,-1.19%
12-Apr-17,109.03,109.63,109.89,108.96,-0.54%
13-Apr-17,109.09,109.02,109.41,108.72,0.06%
14-Apr-17,108.64,109.09,109.25,108.55,-0.41%
17-Apr-17,108.91,108.67,109.06,108.12,0.25%
18-Apr-17,108.42,108.92,109.23,108.31,-0.45%
19-Apr-17,108.86,108.42,109.19,108.36,0.41%
20-Apr-17,109.32,108.85,109.49,108.7,0.42%
21-Apr-17,109.08,109.33,109.44,108.86,-0.22%
24-Apr-17,109.77,110.25,110.64,109.64,0.63%
25-Apr-17,111.09,109.77,111.19,109.58,1.20%
26-Apr-17,111.06,111.11,111.8,110.88,-0.03%
27-Apr-17,111.27,111.06,111.61,111,0.19%
28-Apr-17,111.55,111.25,111.72,111.06,0.25%
1-May-17,111.84,111.3,111.93,111.19,0.26%
2-May-17,111.98,111.86,112.33,111.78,0.13%
3-May-17,112.75,112,112.8,111.95,0.69%
4-May-17,112.46,112.74,113.05,112.3,-0.26%
5-May-17,112.72,112.45,112.83,112.08,0.23%
8-May-17,113.25,112.98,113.31,112.38,0.47%
9-May-17,113.98,113.25,114.33,113.11,0.64%
10-May-17,114.28,113.98,114.36,113.62,0.26%
11-May-17,113.86,114.31,114.39,113.47,-0.37%
12-May-17,113.34,113.86,113.97,113.19,-0.46%
15-May-17,113.78,113.19,113.86,113.11,0.39%
16-May-17,113.12,113.78,113.8,112.91,-0.58%
17-May-17,110.82,113.13,113.14,110.78,-2.03%
18-May-17,111.5,110.83,111.73,110.23,0.61%
19-May-17,111.28,111.48,111.7,111.03,-0.20%
22-May-17,111.3,111.33,111.62,110.89,0.02%
23-May-17,111.78,111.31,111.86,110.86,0.43%
24-May-17,111.5,111.76,112.12,111.46,-0.25%
25-May-17,111.83,111.48,111.95,111.47,0.30%
26-May-17,111.34,111.86,111.89,110.89,-0.44%
29-May-17,111.26,111.32,111.48,111.16,-0.07%
30-May-17,110.85,111.27,111.35,110.67,-0.37%
31-May-17,110.78,110.86,111.25,110.47,-0.06%
1-Jun-17,111.36,110.77,111.48,110.67,0.52%
2-Jun-17,110.42,111.34,111.72,110.31,-0.84%
5-Jun-17,110.47,110.36,110.73,110.25,0.05%
6-Jun-17,109.41,110.44,110.52,109.2,-0.96%
7-Jun-17,109.81,109.44,109.91,109.11,0.37%
8-Jun-17,110,109.83,110.42,109.39,0.17%
9-Jun-17,110.34,110,110.81,109.75,0.31%
12-Jun-17,109.94,110.36,110.44,109.61,-0.36%
13-Jun-17,110.07,109.95,110.28,109.82,0.12%
14-Jun-17,109.58,110.06,110.36,108.83,-0.45%
15-Jun-17,110.94,109.56,111,109.28,1.24%
16-Jun-17,110.86,110.92,111.44,110.64,-0.07%
19-Jun-17,111.53,110.83,111.61,110.75,0.60%
20-Jun-17,111.44,111.53,111.81,111.31,-0.08%
21-Jun-17,111.38,111.45,111.73,111.05,-0.05%
22-Jun-17,111.33,111.35,111.45,110.93,-0.04%
23-Jun-17,111.29,111.35,111.45,111.16,-0.04%
26-Jun-17,111.84,111.11,111.94,111.11,0.49%
27-Jun-17,112.36,111.88,112.47,111.45,0.46%
28-Jun-17,112.3,112.36,112.43,111.83,-0.05%
29-Jun-17,112.18,112.31,112.94,111.81,-0.11%
30-Jun-17,112.38,112.19,112.62,111.74,0.18%
3-Jul-17,113.39,112.14,113.48,111.94,0.90%
4-Jul-17,113.28,113.38,113.48,112.73,-0.10%
5-Jul-17,113.27,113.28,113.69,112.81,-0.01%
6-Jul-17,113.22,113.27,113.48,112.89,-0.04%
7-Jul-17,113.89,113.19,114.19,113.08,0.59%
