Date,Price,Open,High,Low,Change %
4-Apr-17,1.0674,1.0669,1.0678,1.0635,0.03%
5-Apr-17,1.0663,1.0672,1.069,1.0633,-0.10%
6-Apr-17,1.0644,1.0663,1.0687,1.063,-0.18%
7-Apr-17,1.059,1.0644,1.0668,1.058,-0.51%
10-Apr-17,1.0596,1.0593,1.0609,1.0571,0.06%
11-Apr-17,1.0602,1.0595,1.0631,1.0577,0.06%
12-Apr-17,1.0666,1.0606,1.0677,1.0589,0.60%
13-Apr-17,1.0614,1.0664,1.0679,1.0609,-0.49%
14-Apr-17,1.0612,1.0615,1.0633,1.0607,-0.02%
17-Apr-17,1.0643,1.0615,1.0674,1.0603,0.29%
18-Apr-17,1.0734,1.0643,1.0737,1.0636,0.86%
19-Apr-17,1.0711,1.073,1.0738,1.07,-0.21%
20-Apr-17,1.0717,1.0711,1.078,1.0709,0.06%
21-Apr-17,1.0728,1.0719,1.0739,1.0682,0.10%
24-Apr-17,1.0868,1.089,1.0936,1.0819,1.30%
25-Apr-17,1.0926,1.0868,1.0951,1.0851,0.53%
26-Apr-17,1.0903,1.0924,1.0951,1.0856,-0.21%
27-Apr-17,1.0873,1.0903,1.0933,1.0851,-0.28%
28-Apr-17,1.0897,1.0877,1.0949,1.0857,0.22%
1-May-17,1.0899,1.0906,1.0924,1.0883,0.02%
2-May-17,1.093,1.0901,1.0936,1.0889,0.28%
3-May-17,1.0885,1.093,1.0939,1.0883,-0.41%
4-May-17,1.0984,1.0884,1.0987,1.0874,0.91%
5-May-17,1.0998,1.0991,1.1002,1.0951,0.13%
8-May-17,1.0924,1.0998,1.1024,1.0917,-0.67%
9-May-17,1.0874,1.0923,1.0935,1.0862,-0.46%
10-May-17,1.0868,1.0874,1.09,1.0853,-0.06%
11-May-17,1.0861,1.0869,1.0894,1.0838,-0.06%
12-May-17,1.0931,1.0863,1.0937,1.0857,0.64%
15-May-17,1.0975,1.0926,1.0991,1.0922,0.40%
16-May-17,1.1082,1.0976,1.1098,1.0972,0.97%
17-May-17,1.1159,1.1083,1.1163,1.1079,0.69%
18-May-17,1.1103,1.116,1.1173,1.1075,-0.50%
19-May-17,1.1207,1.1103,1.1214,1.1097,0.94%
22-May-17,1.1238,1.1202,1.1265,1.1162,0.28%
23-May-17,1.1183,1.1237,1.1268,1.1174,-0.49%
24-May-17,1.1219,1.1184,1.1222,1.1169,0.32%
25-May-17,1.1211,1.1219,1.1252,1.1194,-0.07%
26-May-17,1.1183,1.1211,1.1235,1.1159,-0.25%
29-May-17,1.1165,1.1179,1.1192,1.116,-0.16%
30-May-17,1.1185,1.1165,1.1207,1.1111,0.18%
31-May-17,1.1243,1.1186,1.1255,1.1165,0.52%
1-Jun-17,1.1213,1.1242,1.1258,1.1203,-0.27%
2-Jun-17,1.1282,1.1213,1.1287,1.1205,0.62%
5-Jun-17,1.1255,1.128,1.1285,1.1236,-0.24%
6-Jun-17,1.1278,1.1254,1.1285,1.124,0.20%
7-Jun-17,1.1257,1.1277,1.1284,1.1205,-0.19%
8-Jun-17,1.1214,1.1257,1.127,1.1195,-0.38%
9-Jun-17,1.1196,1.1217,1.124,1.1168,-0.16%
12-Jun-17,1.1203,1.1196,1.1235,1.1193,0.06%
13-Jun-17,1.1216,1.1203,1.1225,1.1184,0.12%
14-Jun-17,1.1218,1.121,1.1296,1.1191,0.02%
15-Jun-17,1.1145,1.1219,1.1231,1.1132,-0.65%
16-Jun-17,1.1198,1.1142,1.1201,1.1138,0.48%
19-Jun-17,1.1148,1.1199,1.1214,1.1141,-0.45%
20-Jun-17,1.1135,1.1147,1.1165,1.1118,-0.12%
21-Jun-17,1.1168,1.1133,1.1171,1.1128,0.30%
22-Jun-17,1.1153,1.1167,1.1179,1.114,-0.13%
23-Jun-17,1.1194,1.1152,1.1211,1.1145,0.37%
26-Jun-17,1.1182,1.1202,1.1222,1.1173,-0.11%
27-Jun-17,1.1339,1.1183,1.1351,1.1178,1.40%
28-Jun-17,1.1378,1.1339,1.1392,1.1292,0.34%
29-Jun-17,1.1441,1.1376,1.1446,1.1373,0.55%
